,date,race,id
776,2017-01-19,Black,1331
778,2017-01-19,Latinx,825
779,2017-01-19,White,1147
781,2017-01-20,Black,1331
783,2017-01-20,Latinx,828
784,2017-01-20,White,1136
786,2017-01-21,Black,1326
788,2017-01-21,Latinx,827
789,2017-01-21,White,1130
791,2017-01-22,Black,1326
793,2017-01-22,Latinx,827
794,2017-01-22,White,1131
796,2017-01-23,Black,1323
798,2017-01-23,Latinx,828
799,2017-01-23,White,1131
801,2017-01-24,Black,1321
803,2017-01-24,Latinx,837
804,2017-01-24,White,1134
806,2017-01-25,Black,1325
808,2017-01-25,Latinx,834
809,2017-01-25,White,1133
811,2017-01-26,Black,1312
813,2017-01-26,Latinx,827
814,2017-01-26,White,1133
816,2017-01-27,Black,1320
818,2017-01-27,Latinx,825
819,2017-01-27,White,1126
821,2017-01-28,Black,1322
823,2017-01-28,Latinx,831
824,2017-01-28,White,1129
826,2017-01-29,Black,1322
828,2017-01-29,Latinx,833
829,2017-01-29,White,1130
831,2017-01-30,Black,1322
833,2017-01-30,Latinx,831
834,2017-01-30,White,1134
836,2017-01-31,Black,1338
838,2017-01-31,Latinx,839
839,2017-01-31,White,1131
841,2017-02-01,Black,1337
843,2017-02-01,Latinx,851
844,2017-02-01,White,1121
846,2017-02-02,Black,1346
848,2017-02-02,Latinx,844
849,2017-02-02,White,1108
851,2017-02-03,Black,1338
853,2017-02-03,Latinx,846
854,2017-02-03,White,1113
856,2017-02-04,Black,1334
858,2017-02-04,Latinx,832
859,2017-02-04,White,1099
861,2017-02-05,Black,1334
863,2017-02-05,Latinx,832
864,2017-02-05,White,1099
866,2017-02-06,Black,1334
868,2017-02-06,Latinx,833
869,2017-02-06,White,1097
871,2017-02-07,Black,1352
873,2017-02-07,Latinx,832
874,2017-02-07,White,1102
876,2017-02-08,Black,1353
878,2017-02-08,Latinx,839
879,2017-02-08,White,1112
881,2017-02-09,Black,1342
883,2017-02-09,Latinx,834
884,2017-02-09,White,1112
886,2017-02-10,Black,1341
888,2017-02-10,Latinx,834
889,2017-02-10,White,1112
891,2017-02-11,Black,1328
893,2017-02-11,Latinx,838
894,2017-02-11,White,1121
896,2017-02-12,Black,1326
898,2017-02-12,Latinx,840
899,2017-02-12,White,1126
901,2017-02-13,Black,1326
903,2017-02-13,Latinx,840
904,2017-02-13,White,1125
906,2017-02-14,Black,1305
908,2017-02-14,Latinx,834
909,2017-02-14,White,1121
911,2017-02-15,Black,1337
913,2017-02-15,Latinx,843
914,2017-02-15,White,1129
916,2017-02-16,Black,1334
918,2017-02-16,Latinx,837
919,2017-02-16,White,1116
921,2017-02-17,Black,1330
923,2017-02-17,Latinx,832
924,2017-02-17,White,1115
926,2017-02-18,Black,1326
928,2017-02-18,Latinx,832
929,2017-02-18,White,1113
931,2017-02-19,Black,1326
933,2017-02-19,Latinx,833
934,2017-02-19,White,1118
936,2017-02-20,Black,1324
938,2017-02-20,Latinx,833
939,2017-02-20,White,1119
941,2017-02-21,Black,1321
943,2017-02-21,Latinx,832
944,2017-02-21,White,1116
946,2017-02-22,Black,1341
948,2017-02-22,Latinx,839
949,2017-02-22,White,1131
951,2017-02-23,Black,1332
953,2017-02-23,Latinx,844
954,2017-02-23,White,1132
956,2017-02-24,Black,1321
958,2017-02-24,Latinx,839
959,2017-02-24,White,1125
961,2017-02-25,Black,1308
963,2017-02-25,Latinx,839
964,2017-02-25,White,1116
966,2017-02-26,Black,1308
968,2017-02-26,Latinx,839
969,2017-02-26,White,1116
971,2017-02-27,Black,1307
973,2017-02-27,Latinx,841
974,2017-02-27,White,1115
976,2017-02-28,Black,1301
978,2017-02-28,Latinx,842
979,2017-02-28,White,1118
981,2017-03-01,Black,1296
983,2017-03-01,Latinx,851
984,2017-03-01,White,1124
986,2017-03-02,Black,1297
988,2017-03-02,Latinx,849
989,2017-03-02,White,1110
991,2017-03-03,Black,1291
993,2017-03-03,Latinx,831
994,2017-03-03,White,1110
996,2017-03-04,Black,1296
998,2017-03-04,Latinx,824
999,2017-03-04,White,1109
1001,2017-03-05,Black,1296
1003,2017-03-05,Latinx,825
1004,2017-03-05,White,1110
1006,2017-03-06,Black,1297
1008,2017-03-06,Latinx,824
1009,2017-03-06,White,1111
1011,2017-03-07,Black,1290
1013,2017-03-07,Latinx,825
1014,2017-03-07,White,1107
1016,2017-03-08,Black,1292
1018,2017-03-08,Latinx,824
1019,2017-03-08,White,1101
1021,2017-03-09,Black,1307
1023,2017-03-09,Latinx,826
1024,2017-03-09,White,1092
1026,2017-03-10,Black,1300
1028,2017-03-10,Latinx,818
1029,2017-03-10,White,1094
1031,2017-03-11,Black,1287
1033,2017-03-11,Latinx,827
1034,2017-03-11,White,1097
1036,2017-03-12,Black,1285
1038,2017-03-12,Latinx,827
1039,2017-03-12,White,1096
1041,2017-03-13,Black,1285
1043,2017-03-13,Latinx,827
1044,2017-03-13,White,1095
1046,2017-03-14,Black,1277
1048,2017-03-14,Latinx,828
1049,2017-03-14,White,1083
1051,2017-03-15,Black,1276
1053,2017-03-15,Latinx,828
1054,2017-03-15,White,1082
1056,2017-03-16,Black,1287
1058,2017-03-16,Latinx,839
1059,2017-03-16,White,1094
1061,2017-03-17,Black,1291
1063,2017-03-17,Latinx,833
1064,2017-03-17,White,1086
1066,2017-03-18,Black,1300
1068,2017-03-18,Latinx,835
1069,2017-03-18,White,1084
1071,2017-03-19,Black,1298
1073,2017-03-19,Latinx,836
1074,2017-03-19,White,1086
1076,2017-03-20,Black,1297
1078,2017-03-20,Latinx,835
1079,2017-03-20,White,1088
1081,2017-03-21,Black,1296
1083,2017-03-21,Latinx,836
1084,2017-03-21,White,1092
1086,2017-03-22,Black,1309
1088,2017-03-22,Latinx,826
1089,2017-03-22,White,1088
1091,2017-03-23,Black,1312
1093,2017-03-23,Latinx,830
1094,2017-03-23,White,1077
1096,2017-03-24,Black,1293
1098,2017-03-24,Latinx,826
1099,2017-03-24,White,1085
1101,2017-03-25,Black,1294
1103,2017-03-25,Latinx,825
1104,2017-03-25,White,1098
1106,2017-03-26,Black,1294
1108,2017-03-26,Latinx,825
1109,2017-03-26,White,1100
1111,2017-03-27,Black,1290
1113,2017-03-27,Latinx,824
1114,2017-03-27,White,1100
1116,2017-03-28,Black,1281
1118,2017-03-28,Latinx,830
1119,2017-03-28,White,1096
1121,2017-03-29,Black,1279
1123,2017-03-29,Latinx,835
1124,2017-03-29,White,1096
1126,2017-03-30,Black,1291
1128,2017-03-30,Latinx,826
1129,2017-03-30,White,1093
1131,2017-03-31,Black,1289
1133,2017-03-31,Latinx,823
1134,2017-03-31,White,1092
1136,2017-04-01,Black,1287
1138,2017-04-01,Latinx,825
1139,2017-04-01,White,1090
1141,2017-04-02,Black,1287
1143,2017-04-02,Latinx,827
1144,2017-04-02,White,1091
1146,2017-04-03,Black,1286
1148,2017-04-03,Latinx,828
1149,2017-04-03,White,1091
1151,2017-04-04,Black,1287
1153,2017-04-04,Latinx,832
1154,2017-04-04,White,1086
1156,2017-04-05,Black,1290
1158,2017-04-05,Latinx,842
1159,2017-04-05,White,1089
1161,2017-04-06,Black,1284
1163,2017-04-06,Latinx,845
1164,2017-04-06,White,1079
1166,2017-04-07,Black,1285
1168,2017-04-07,Latinx,836
1169,2017-04-07,White,1075
1171,2017-04-08,Black,1277
1173,2017-04-08,Latinx,833
1174,2017-04-08,White,1076
1176,2017-04-09,Black,1277
1178,2017-04-09,Latinx,834
1179,2017-04-09,White,1082
1181,2017-04-10,Black,1278
1183,2017-04-10,Latinx,835
1184,2017-04-10,White,1082
1186,2017-04-11,Black,1272
1188,2017-04-11,Latinx,837
1189,2017-04-11,White,1091
1191,2017-04-12,Black,1276
1193,2017-04-12,Latinx,840
1194,2017-04-12,White,1092
1196,2017-04-13,Black,1283
1198,2017-04-13,Latinx,838
1199,2017-04-13,White,1094
1201,2017-04-14,Black,1289
1203,2017-04-14,Latinx,834
1204,2017-04-14,White,1089
1206,2017-04-15,Black,1289
1208,2017-04-15,Latinx,834
1209,2017-04-15,White,1089
1211,2017-04-16,Black,1288
1213,2017-04-16,Latinx,833
1214,2017-04-16,White,1088
1216,2017-04-17,Black,1287
1218,2017-04-17,Latinx,833
1219,2017-04-17,White,1088
1221,2017-04-18,Black,1294
1223,2017-04-18,Latinx,842
1224,2017-04-18,White,1109
1226,2017-04-19,Black,1297
1228,2017-04-19,Latinx,838
1229,2017-04-19,White,1116
1231,2017-04-20,Black,1301
1233,2017-04-20,Latinx,841
1234,2017-04-20,White,1117
1236,2017-04-21,Black,1291
1238,2017-04-21,Latinx,831
1239,2017-04-21,White,1100
1241,2017-04-22,Black,1297
1243,2017-04-22,Latinx,833
1244,2017-04-22,White,1118
1246,2017-04-23,Black,1298
1248,2017-04-23,Latinx,833
1249,2017-04-23,White,1119
1251,2017-04-24,Black,1298
1253,2017-04-24,Latinx,833
1254,2017-04-24,White,1121
1256,2017-04-25,Black,1297
1258,2017-04-25,Latinx,850
1259,2017-04-25,White,1132
1261,2017-04-26,Black,1283
1263,2017-04-26,Latinx,841
1264,2017-04-26,White,1137
1266,2017-04-27,Black,1280
1268,2017-04-27,Latinx,836
1269,2017-04-27,White,1135
1271,2017-04-28,Black,1274
1273,2017-04-28,Latinx,835
1274,2017-04-28,White,1132
1276,2017-04-29,Black,1284
1278,2017-04-29,Latinx,836
1279,2017-04-29,White,1132
1281,2017-04-30,Black,1284
1283,2017-04-30,Latinx,837
1284,2017-04-30,White,1132
1286,2017-05-01,Black,1283
1288,2017-05-01,Latinx,837
1289,2017-05-01,White,1134
1291,2017-05-02,Black,1285
1293,2017-05-02,Latinx,829
1294,2017-05-02,White,1143
1296,2017-05-03,Black,1292
1298,2017-05-03,Latinx,830
1299,2017-05-03,White,1141
1301,2017-05-04,Black,1288
1303,2017-05-04,Latinx,831
1304,2017-05-04,White,1133
1306,2017-05-05,Black,1287
1308,2017-05-05,Latinx,838
1309,2017-05-05,White,1143
1311,2017-05-06,Black,1277
1313,2017-05-06,Latinx,824
1314,2017-05-06,White,1132
1316,2017-05-07,Black,1276
1318,2017-05-07,Latinx,823
1319,2017-05-07,White,1133
1321,2017-05-08,Black,1276
1323,2017-05-08,Latinx,823
1324,2017-05-08,White,1131
1326,2017-05-09,Black,1271
1328,2017-05-09,Latinx,826
1329,2017-05-09,White,1127
1331,2017-05-10,Black,1275
1333,2017-05-10,Latinx,827
1334,2017-05-10,White,1122
1336,2017-05-11,Black,1266
1338,2017-05-11,Latinx,828
1339,2017-05-11,White,1112
1341,2017-05-12,Black,1263
1343,2017-05-12,Latinx,822
1344,2017-05-12,White,1105
1346,2017-05-13,Black,1257
1348,2017-05-13,Latinx,822
1349,2017-05-13,White,1114
1351,2017-05-14,Black,1257
1353,2017-05-14,Latinx,823
1354,2017-05-14,White,1117
1356,2017-05-15,Black,1257
1358,2017-05-15,Latinx,822
1359,2017-05-15,White,1118
1361,2017-05-16,Black,1262
1363,2017-05-16,Latinx,829
1364,2017-05-16,White,1102
1366,2017-05-17,Black,1266
1368,2017-05-17,Latinx,834
1369,2017-05-17,White,1110
1371,2017-05-18,Black,1258
1373,2017-05-18,Latinx,831
1374,2017-05-18,White,1109
1376,2017-05-19,Black,1259
1378,2017-05-19,Latinx,820
1379,2017-05-19,White,1108
1381,2017-05-20,Black,1251
1383,2017-05-20,Latinx,813
1384,2017-05-20,White,1098
1386,2017-05-21,Black,1251
1388,2017-05-21,Latinx,812
1389,2017-05-21,White,1098
1391,2017-05-22,Black,1252
1393,2017-05-22,Latinx,811
1394,2017-05-22,White,1100
1396,2017-05-23,Black,1256
1398,2017-05-23,Latinx,825
1399,2017-05-23,White,1111
1401,2017-05-24,Black,1254
1403,2017-05-24,Latinx,819
